epoch,duration_output_accuracy,duration_output_loss,duration_output_top3_accuracy,loss,pitch_output_accuracy,pitch_output_loss,pitch_output_top3_accuracy,tempo_output_accuracy,tempo_output_loss,tempo_output_top3_accuracy,time_shift_output_accuracy,time_shift_output_loss,time_shift_output_top3_accuracy,type_output_accuracy,type_output_loss,type_output_top3_accuracy,val_duration_output_accuracy,val_duration_output_loss,val_duration_output_top3_accuracy,val_loss,val_pitch_output_accuracy,val_pitch_output_loss,val_pitch_output_top3_accuracy,val_tempo_output_accuracy,val_tempo_output_loss,val_tempo_output_top3_accuracy,val_time_shift_output_accuracy,val_time_shift_output_loss,val_time_shift_output_top3_accuracy,val_type_output_accuracy,val_type_output_loss,val_type_output_top3_accuracy
1,0.5567231774330139,1.0643868446350098,0.9462622404098511,5.649606227874756,0.07379985600709915,3.466343879699707,0.19823262095451355,0.9582039713859558,0.15232568979263306,0.9947456121444702,0.693097710609436,0.8996620774269104,0.9622641801834106,0.9875805974006653,0.06595277786254883,1.0,0.586523711681366,1.0828912258148193,0.9326186776161194,8.215453147888184,0.09188361465930939,3.181286096572876,0.26033690571784973,0.47320061922073364,3.4420154094696045,0.47320061922073364,0.7565084099769592,0.6683412790298462,0.972434937953949,1.0,0.004853107500821352,1.0
2,0.6243133544921875,0.9105674624443054,0.9562932848930359,4.741582870483398,0.10126582533121109,3.298341989517212,0.2512538731098175,0.999761164188385,0.009430434554815292,1.0,0.8268449902534485,0.4968031048774719,0.9871029257774353,0.9952232837677002,0.026126476004719734,1.0,0.5972434878349304,1.0761997699737549,0.9326186776161194,8.246112823486328,0.12863706052303314,3.0532422065734863,0.31852987408638,0.47320061922073364,3.8102376461029053,0.47320061922073364,0.817764163017273,0.4879624843597412,0.9862174391746521,1.0,0.003973082639276981,1.0
3,0.6591832041740417,0.8571068644523621,0.9622641801834106,4.388794898986816,0.14162884652614594,3.1315176486968994,0.3135896921157837,1.0,0.006977489218115807,1.0,0.8762837648391724,0.368773877620697,0.99402916431427,0.9952232837677002,0.0241268128156662,1.0,0.6416538953781128,1.0216410160064697,0.9387442469596863,7.817252159118652,0.1393568217754364,2.947821617126465,0.3843797743320465,0.47320061922073364,3.6230828762054443,0.47320061922073364,0.8698315620422363,0.39910992980003357,0.9908116459846497,1.0,0.004375532269477844,1.0
4,0.6813948154449463,0.8231923580169678,0.9668020009994507,4.105802059173584,0.17434917390346527,2.958627223968506,0.3830905258655548,1.0,0.0059090773575007915,1.0,0.896584689617157,0.29563507437705994,0.9959397912025452,0.9952232837677002,0.022205457091331482,1.0,0.6523736715316772,0.9930749535560608,0.9356814622879028,7.922476291656494,0.18683001399040222,2.86275053024292,0.39356815814971924,0.47320061922073364,3.9198689460754395,0.47320061922073364,0.8973966240882874,0.32443928718566895,0.9908116459846497,1.0,0.0047021606005728245,1.0
5,0.6940529942512512,0.7896975874900818,0.9701457023620605,3.8420803546905518,0.20157630741596222,2.7818524837493896,0.43682828545570374,1.0,0.004636023659259081,1.0,0.9192739725112915,0.24584759771823883,0.9966562986373901,0.9954621195793152,0.01994030922651291,1.0,0.6385911107063293,0.972855269908905,0.9387442469596863,7.714292049407959,0.19448699057102203,2.75795316696167,0.44563552737236023,0.47320061922073364,3.869650363922119,0.47320061922073364,0.9249616861343384,0.27209770679473877,0.9908116459846497,1.0,0.004592536482959986,1.0
6,0.7076665759086609,0.7554939985275269,0.9746835231781006,3.6224966049194336,0.2278480976819992,2.6390414237976074,0.48125147819519043,1.0,0.0037967762909829617,1.0,0.9347981810569763,0.20667798817157745,0.9976116418838501,0.9959397912025452,0.01753970980644226,1.0,0.6324655413627625,0.9652739763259888,0.9494640231132507,7.661098480224609,0.22205206751823425,2.6606247425079346,0.457886666059494,0.47320061922073364,3.952913522720337,0.47320061922073364,0.9295558929443359,0.2402903288602829,0.9908116459846497,1.0,0.005139281041920185,1.0
7,0.7184141278266907,0.7261672019958496,0.9787437319755554,3.435976505279541,0.2584189176559448,2.516759157180786,0.5263912081718445,1.0,0.003232946852222085,1.0,0.9445903897285461,0.17499831318855286,0.9983281493186951,0.9964174628257751,0.014927210286259651,1.0,0.6768759489059448,0.9281080961227417,0.9540581703186035,8.332575798034668,0.2450229674577713,2.585014820098877,0.5160796046257019,0.47320061922073364,4.762889385223389,0.47473201155662537,0.9402756690979004,0.2209576815366745,0.9954057931900024,1.0,0.005427767988294363,1.0
8,0.7358490824699402,0.6977147459983826,0.9818485975265503,3.2672221660614014,0.28421303629875183,2.4046337604522705,0.5614998936653137,1.0,0.002578853163868189,1.0,0.954143762588501,0.14944986999034882,0.998805820941925,0.9964174628257751,0.012920768931508064,1.0,0.6860643029212952,0.9067379236221313,0.957120954990387,8.229117393493652,0.26186829805374146,2.5380964279174805,0.5267993807792664,0.47320061922073364,4.722819805145264,0.47320061922073364,0.9356814622879028,0.20556490123271942,0.9984685778617859,1.0,0.0072384909726679325,1.0
9,0.744924783706665,0.6725844740867615,0.9835204482078552,3.1126630306243896,0.31502267718315125,2.2987751960754395,0.594936728477478,1.0,0.002092950511723757,1.0,0.9613088369369507,0.1277729719877243,0.99904465675354,0.9964174628257751,0.011505208909511566,1.0,0.6753445863723755,0.8903654217720032,0.9617151618003845,8.412138938903809,0.2771822214126587,2.4857394695281982,0.5344563722610474,0.47320061922073364,4.9782490730285645,0.47473201155662537,0.9418070316314697,0.19923284649848938,0.9984685778617859,1.0,0.006855862680822611,1.0
10,0.7554334998130798,0.6461805701255798,0.9851922392845154,2.964982271194458,0.3386673033237457,2.19718599319458,0.6319560408592224,1.0,0.0019220334943383932,1.0,0.9668020009994507,0.10957745462656021,0.99904465675354,0.9968951344490051,0.010159090161323547,1.0,0.6738131642341614,0.8807249665260315,0.9617151618003845,8.690779685974121,0.2787136435508728,2.440458297729492,0.5421133041381836,0.47320061922073364,5.3100762367248535,0.47320061922073364,0.9464012384414673,0.20048296451568604,1.0,1.0,0.006812336388975382,1.0
