epoch,duration_output_accuracy,duration_output_loss,duration_output_top3_accuracy,loss,pitch_output_accuracy,pitch_output_loss,pitch_output_top3_accuracy,tempo_output_accuracy,tempo_output_loss,tempo_output_top3_accuracy,time_shift_output_accuracy,time_shift_output_loss,time_shift_output_top3_accuracy,type_output_accuracy,type_output_loss,type_output_top3_accuracy,val_duration_output_accuracy,val_duration_output_loss,val_duration_output_top3_accuracy,val_loss,val_pitch_output_accuracy,val_pitch_output_loss,val_pitch_output_top3_accuracy,val_tempo_output_accuracy,val_tempo_output_loss,val_tempo_output_top3_accuracy,val_time_shift_output_accuracy,val_time_shift_output_loss,val_time_shift_output_top3_accuracy,val_type_output_accuracy,val_type_output_loss,val_type_output_top3_accuracy
1,0.4891231954097748,1.4496763944625854,0.8389914035797119,7.644937515258789,0.09568420797586441,4.227602481842041,0.16596271097660065,0.9717361330986023,0.21132802963256836,0.9947283267974854,0.5384737253189087,1.2141262292861938,0.945091962814331,0.8502651453018188,0.5328931212425232,1.0,0.5941703915596008,1.3497275114059448,0.8500560522079468,12.6748046875,0.1639574021100998,3.516420841217041,0.23598654568195343,0.0,6.3835673332214355,0.3357623219490051,0.6165919303894043,0.917698323726654,0.9882286787033081,0.8234304785728455,0.5077076554298401,1.0
2,0.5787417888641357,1.227308750152588,0.8834196329116821,6.375295639038086,0.1223919466137886,3.6924028396606445,0.21261392533779144,1.0,0.0060066236183047295,1.0,0.549620509147644,0.98443603515625,0.975578784942627,0.8508368134498596,0.4606287181377411,1.0,0.5857623219490051,1.3135603666305542,0.8483744263648987,12.616877555847168,0.1639574021100998,3.4419682025909424,0.2934417128562927,0.0,6.493667125701904,0.39461883902549744,0.6185538172721863,0.8660799264907837,0.990470826625824,0.8234304785728455,0.5012429356575012,1.0
3,0.5889675617218018,1.1943917274475098,0.8876432776451111,6.19840145111084,0.1223919466137886,3.6187424659729004,0.23198577761650085,1.0,0.003837811993435025,1.0,0.571151852607727,0.9283485412597656,0.9788497686386108,0.8502651453018188,0.44850486516952515,1.0,0.5854820609092712,1.2971160411834717,0.8461322784423828,12.70187759399414,0.1639574021100998,3.4259235858917236,0.3010089695453644,0.0,6.646625995635986,0.3901345431804657,0.6193946003913879,0.8297105431556702,0.9932735562324524,0.8234304785728455,0.5020453333854675,1.0
4,0.5921432971954346,1.1766468286514282,0.8902474045753479,6.0474066734313965,0.12505954504013062,3.5469489097595215,0.24602241814136505,1.0,0.0031874789856374264,1.0,0.6157705783843994,0.873152494430542,0.9806281328201294,0.8501698970794678,0.44222158193588257,1.0,0.584080696105957,1.3156319856643677,0.8388453125953674,12.662559509277344,0.1639574021100998,3.398824453353882,0.3074551522731781,0.0,6.643752574920654,0.41507846117019653,0.6322869658470154,0.802247166633606,0.9952354431152344,0.8234304785728455,0.5020878911018372,1.0
5,0.5946521162986755,1.1647714376449585,0.8935818672180176,5.927514553070068,0.12839403748512268,3.5027732849121094,0.2541840076446533,1.0,0.0024958662688732147,1.0,0.6518466472625732,0.8144427537918091,0.9823430180549622,0.8502651453018188,0.43753567337989807,1.0,0.5857623219490051,1.3214067220687866,0.8346412777900696,12.73890209197998,0.16339686512947083,3.3738059997558594,0.31306055188179016,0.0,6.764748573303223,0.344730943441391,0.6507847309112549,0.7804383635520935,0.992432713508606,0.8234304785728455,0.49858611822128296,1.0
6,0.5959224104881287,1.155017614364624,0.8959636688232422,5.8350443840026855,0.1302042007446289,3.471564292907715,0.2615199089050293,1.0,0.001973547972738743,1.0,0.6730286478996277,0.7665903568267822,0.9842484593391418,0.8503604531288147,0.43395110964775085,1.0,0.5846412777900696,1.3207863569259644,0.8315582871437073,12.877291679382324,0.16339686512947083,3.3482093811035156,0.31362107396125793,0.0,6.956833362579346,0.36547085642814636,0.6661995649337769,0.7549044489860535,0.9918721914291382,0.8228699564933777,0.4967932403087616,1.0
7,0.5974467396736145,1.1462982892990112,0.8984724879264832,5.762911319732666,0.1336974799633026,3.44443678855896,0.2668868601322174,1.0,0.0016040337504819036,1.0,0.6890660524368286,0.7331792712211609,0.9857093095779419,0.8504557013511658,0.4309581518173218,1.0,0.5793161392211914,1.3175404071807861,0.8307175040245056,13.031733512878418,0.1605941653251648,3.327122449874878,0.32511210441589355,0.0,7.160960674285889,0.43301570415496826,0.6849775910377502,0.7308474779129028,0.9921524524688721,0.8234304785728455,0.495557963848114,1.0
8,0.5999555587768555,1.1379472017288208,0.9008225202560425,5.7022905349731445,0.13684143126010895,3.4191532135009766,0.2718409597873688,1.0,0.001345086027868092,1.0,0.6997364163398743,0.7086066603660583,0.986376166343689,0.8499793410301208,0.42831259965896606,1.0,0.5801569223403931,1.311238408088684,0.8304372429847717,13.198102951049805,0.1622757911682129,3.3124046325683594,0.31670403480529785,0.0,7.370243549346924,0.4593609869480133,0.6900224089622498,0.7103753089904785,0.9913116693496704,0.8234304785728455,0.494004487991333,1.0
9,0.6018609404563904,1.1300334930419922,0.9017752408981323,5.64821720123291,0.13969957828521729,3.3949286937713623,0.27860522270202637,1.0,0.0011486061848700047,1.0,0.7069453001022339,0.6889921426773071,0.9865984916687012,0.8502016663551331,0.425741046667099,1.0,0.5795964002609253,1.3064295053482056,0.8301569223403931,13.364495277404785,0.16507847607135773,3.3024964332580566,0.31502240896224976,0.0,7.5681610107421875,0.47729820013046265,0.6959080696105957,0.6947692632675171,0.9907511472702026,0.8234304785728455,0.4926699101924896,1.0
10,0.6034170389175415,1.1226060390472412,0.903077244758606,5.598500728607178,0.14347867667675018,3.3714535236358643,0.2850519120693207,1.0,0.0009949735831469297,1.0,0.7149798274040222,0.6723965406417847,0.9869478344917297,0.8505192399024963,0.42319822311401367,1.0,0.5801569223403931,1.302814245223999,0.8293161392211914,13.50163745880127,0.1670403629541397,3.298743963241577,0.3161434829235077,0.0,7.7238593101501465,0.49747759103775024,0.697029173374176,0.6840817332267761,0.9913116693496704,0.8234304785728455,0.49193960428237915,1.0
