epoch,duration_output_accuracy,duration_output_loss,duration_output_top3_accuracy,loss,pitch_output_accuracy,pitch_output_loss,pitch_output_top3_accuracy,tempo_output_accuracy,tempo_output_loss,tempo_output_top3_accuracy,time_shift_output_accuracy,time_shift_output_loss,time_shift_output_top3_accuracy,type_output_accuracy,type_output_loss,type_output_top3_accuracy,val_duration_output_accuracy,val_duration_output_loss,val_duration_output_top3_accuracy,val_loss,val_pitch_output_accuracy,val_pitch_output_loss,val_pitch_output_top3_accuracy,val_tempo_output_accuracy,val_tempo_output_loss,val_tempo_output_top3_accuracy,val_time_shift_output_accuracy,val_time_shift_output_loss,val_time_shift_output_top3_accuracy,val_type_output_accuracy,val_type_output_loss,val_type_output_top3_accuracy
1,0.5359014272689819,1.3377594947814941,0.8672869801521301,7.00676965713501,0.10905395448207855,3.9777064323425293,0.19476643204689026,0.987837016582489,0.08706264942884445,0.9986662268638611,0.5431420207023621,1.1079853773117065,0.9565244913101196,0.8489949107170105,0.4946174621582031,1.0,0.591928243637085,1.3116592168807983,0.8464125394821167,13.102120399475098,0.1639574021100998,3.4807260036468506,0.2853139042854309,0.0,6.894169807434082,0.00784753356128931,0.6146300435066223,0.8962555527687073,0.9882286787033081,0.8234304785728455,0.5235471129417419,1.0
2,0.5906189680099487,1.1996990442276,0.8865000605583191,6.219797611236572,0.12232843041419983,3.6469764709472656,0.2267775982618332,1.0,0.004478868097066879,1.0,0.5840134620666504,0.9172945618629456,0.978754460811615,0.850487470626831,0.45039260387420654,1.0,0.588004469871521,1.2657487392425537,0.8424887657165527,13.41590690612793,0.1639574021100998,3.449849843978882,0.28671523928642273,0.0,7.385063648223877,0.006726457271724939,0.6275224089622498,0.8085785508155823,0.9913116693496704,0.8206278085708618,0.5092876553535461,1.0
3,0.5956683158874512,1.1716516017913818,0.8924068808555603,5.981651782989502,0.12397979944944382,3.5565876960754395,0.24599066376686096,1.0,0.0025839773006737232,1.0,0.6538473963737488,0.8087589740753174,0.9819937348365784,0.8501698970794678,0.44082099199295044,1.0,0.5871636867523193,1.2915393114089966,0.8382847309112549,13.987386703491211,0.1639574021100998,3.3951542377471924,0.29456278681755066,0.0,8.062798500061035,0.0019618833903223276,0.6740471124649048,0.7364904284477234,0.9938340783119202,0.8234304785728455,0.5038153529167175,1.0
4,0.5990980863571167,1.153151273727417,0.8966623544692993,5.822556018829346,0.1280447095632553,3.4908435344696045,0.2560894191265106,1.0,0.0017888661241158843,1.0,0.6878592371940613,0.7406851053237915,0.9845342636108398,0.8507097959518433,0.4346473217010498,1.0,0.5894058346748352,1.3035434484481812,0.8332399129867554,14.425272941589355,0.16255605220794678,3.347503185272217,0.30325111746788025,0.0,8.580424308776855,0.0,0.6911435127258301,0.6945212483406067,0.9913116693496704,0.8217488527297974,0.5015931725502014,1.0
5,0.601924479007721,1.137862205505371,0.8993616700172424,5.714756011962891,0.13277652859687805,3.4472222328186035,0.2677760422229767,1.0,0.0012890020152553916,1.0,0.7070087790489197,0.696352481842041,0.9859951138496399,0.8515036702156067,0.43040961027145386,1.0,0.5947309136390686,1.3038889169692993,0.8281950950622559,14.884629249572754,0.16339686512947083,3.322082757949829,0.3018497824668884,0.0,9.101705551147461,0.0008408071589656174,0.7079596519470215,0.6611728668212891,0.9887892603874207,0.8209080696105957,0.49799489974975586,1.0
6,0.6064022183418274,1.1237415075302124,0.9027279615402222,5.627220630645752,0.1370002180337906,3.4116828441619873,0.27650925517082214,1.0,0.0009460125584155321,1.0,0.7231096625328064,0.6623531579971313,0.9865667223930359,0.8519483208656311,0.4267632067203522,1.0,0.5986546874046326,1.3046859502792358,0.8281950950622559,15.323404312133789,0.16339686512947083,3.306487560272217,0.3043721914291382,0.0,9.587289810180664,0.001401345245540142,0.7174887657165527,0.6330820918083191,0.9876681566238403,0.8223094344139099,0.49438077211380005,1.0
7,0.6114516258239746,1.1112208366394043,0.9040299654006958,5.549664497375488,0.14144621789455414,3.378840923309326,0.286830335855484,1.0,0.000724512676242739,1.0,0.7361935973167419,0.6336763501167297,0.9872018694877625,0.8519165515899658,0.4233849346637726,1.0,0.6039798259735107,1.3060696125030518,0.8295964002609253,15.777048110961914,0.16255605220794678,3.2910211086273193,0.30801570415496826,0.0,10.083778381347656,0.002522421535104513,0.7281390428543091,0.6078506708145142,0.9882286787033081,0.8217488527297974,0.49172982573509216,1.0
8,0.6151989698410034,1.10019850730896,0.9046968817710876,5.47902774810791,0.14595572650432587,3.3479793071746826,0.29616692662239075,1.0,0.0005872334586456418,1.0,0.7488647103309631,0.6081728339195251,0.9878687858581543,0.8524881601333618,0.4202163815498352,1.0,0.6087443828582764,1.3061268329620361,0.8295964002609253,16.239015579223633,0.16255605220794678,3.273963212966919,0.31137892603874207,0.0,10.589319229125977,0.004204035736620426,0.7432735562324524,0.5844111442565918,0.9890695214271545,0.822029173374176,0.48981690406799316,1.0
9,0.6183111667633057,1.0905508995056152,0.9048556685447693,5.4138360023498535,0.14919495582580566,3.3185784816741943,0.304677814245224,1.0,0.0005053295171819627,1.0,0.7614087462425232,0.5850299596786499,0.9879958033561707,0.8526151776313782,0.4172396659851074,1.0,0.6149103045463562,1.3037960529327393,0.8295964002609253,16.681406021118164,0.1619955152273178,3.256910800933838,0.3178251087665558,0.0,11.07631778717041,0.009809416718780994,0.7544842958450317,0.5618885159492493,0.990470826625824,0.8211883306503296,0.4882068634033203,1.0
10,0.6217727065086365,1.0819913148880005,0.9061577320098877,5.353366851806641,0.15221188962459564,3.290506362915039,0.3111245334148407,1.0,0.00046381354331970215,1.0,0.7731271386146545,0.5640006065368652,0.9883451461791992,0.8530598282814026,0.4144250154495239,1.0,0.6129484176635742,1.302212119102478,0.8298766613006592,17.123821258544922,0.16283632814884186,3.2418835163116455,0.32875561714172363,0.0,11.55732536315918,0.014293721877038479,0.7623318433761597,0.5417476892471313,0.9921524524688721,0.8214685916900635,0.48713594675064087,1.0
11,0.6238686442375183,1.0741431713104248,0.9071103930473328,5.297191619873047,0.1560862511396408,3.2638347148895264,0.31744417548179626,1.0,0.00044282572343945503,1.0,0.7819873690605164,0.5449851751327515,0.9886944890022278,0.8534091114997864,0.41175562143325806,1.0,0.6140695214271545,1.302581548690796,0.8298766613006592,17.58913803100586,0.1706838607788086,3.2291221618652344,0.32987669110298157,0.0,12.052409172058105,0.02045964077115059,0.7701793909072876,0.5248486399650574,0.9921524524688721,0.8231502175331116,0.4870413839817047,1.0
